"","Beat_class","Mean","Credible_Interval","criminal_rate","criminal_rate_interval"
"1","Central",3853.77594579648,"(3818.149, 3887.835)",1892.60346119863,"(1875.11, 1909.33)"
"2","Clear Lake",1433.95556478878,"(1413.762, 1455.794)",923.179056441068,"(910.18, 937.24)"
"3","Eastside",899.220058064656,"(881.668, 916.971)",985.209109107564,"(965.98, 1004.66)"
"4","North",2998.84656464831,"(2965.367, 3029.606)",1158.71478650131,"(1145.78, 1170.60)"
"5","Northeast",3468.35224225579,"(3435.976, 3499.765)",1704.76885832184,"(1688.86, 1720.21)"
"6","Northwest",1878.9554162074,"(1856.102, 1903.147)",1197.38176686978,"(1182.82, 1212.80)"
"7","South Central",1917.4491006304,"(1893.716, 1941.883)",1995.09832753819,"(1970.40, 2020.52)"
"8","South Gessner",1826.74444053599,"(1801.816, 1850.181)",1185.85887183921,"(1169.68, 1201.07)"
"9","Southeast",2514.7723187777,"(2487.569, 2543.112)",1421.32939890562,"(1405.95, 1437.35)"
"10","Southwest",2282.41458641269,"(2254.496, 2310.927)",1049.66110034018,"(1036.82, 1062.77)"
"11","Westside",6497.17778613858,"(6450.571, 6542.034)",1906.13007394261,"(1892.46, 1919.29)"
